time,gender,age,general,ideas1,grade1,ideas2,grade2,ideas3,grade3,ideas4,grade4,ideas5,grade5,ideas6,grade6,ideas7,grade7,ideas8,grade8,ideas9,grade9,love
23.10.2024 20:16:43,Женский,17,Альбом тейлор свифт и красная помада🙏🏻,Томатный суп как будто,2,Вот этот очень красивый! Что-то такое роскошное,3,Этот розоватый~ немного не моё,3,Вот это прям самый красный~ что-то такое опасное,5,Похож на первый как будто,3,Ну это тоже прям красный самый настоящий~ такое что-то страстное,5,Блин для меня они уже все очень похожи~ вроде тоже красный обычный,5,Ойййй~ вот этот прям вау~ что-то супер осеннее,3,Вот это идеальный для помады,2,В середине мне стало казаться~ что они повторяются😭
23.10.2024 20:17:47,Женский,17,песня i see red ,какой-то гневный малый,2,благородный~ такая прям кровь вампира,5,барби засмущалась,0,какой-то базовый оттенок для обозначения опасности/предупреждения,4,ярко~ что тут сказать ,4,спелый арбуз,4,просто базовый красный,5,клубника в шоколаде,3,подушечка для обручального кольца,3,рэд флаг полный
23.10.2024 20:21:31,Женский,18,Огонь~ кровь~ Файер~ платье~ яблоко~ солнце~ тепло~ горячо~ кушак~ шапочка~ злость~ любовь ,Помидор~ неестественный~ детские книжки ,4,Вино~ гранат~ кровь,5,Розовый~ жёсткий~ противный,2,Алый~ флаг~ яркий ,5,Тот же~ что и предыдущий~ яркий~ больно глазам ,5,Слишком яркий~ ярко-красная роза,4,Красный~ плоский ,4,Тёмный~ кирпич~ коричневый,2,Тёмный~ шиповник,2, А может я дальтоник... I belive in Антон Александрович Сомин supremacy 
23.10.2024 20:22:50,Женский,18,Это цвет такой) выделяется первым в языках после черного и белого. Кровь~ огонь~ любовь~ опасность~ роза~ знак "стоп"~ оценка ,Рыжий~ скорее оранжевый чем красный~ мне нравится этот цвет~ ассоциации с АлиЭкспресс,2,вино~ вишнёвый~ страсть,4,инфантильность~ мороженое или какие то химозные красители~ пинки пай,2,красный!!!! ассоциируется с магазином магнит~ в целом с продажей ,5,в целом как предыдущий но чуть темнее и спокойнее ,5,чуть более розовый~ чем красный~ цвет холодного оттенка красной помады,4,знак стоп ,5,бордовый~ что-то супер осеннее и эстетичное~ Владимир Маяковский ,2,вишневый опять~ не очень отличается от первого вишнёвого~ разве что холоднее ,3,клёво но парочку пар цветов я не различаю. спасибо за розы желаю удачи в исследовании 
23.10.2024 20:23:05,Женский,18,Красный цвет вроде вызывает в человеке нервные/агрессивные чувства. Ассоциации: кровь и помидоры,тропические рыбы,4,вишня и помада моей подруги,3,девочки-альтушки,2,цвет светофора,4,помидоры и яблоки,5,малина,3,кровь,5,размокшая под дождем глиняная дорога,3,морс или компот,2,вот вам анекдот про красный из гугла: Красный-красный город. Красные жители. Красное небо. Красный ресторан Красные посетители~ напитки - другого цвета нигде нет. Вдруг~ среди всего этого~ ЗЕЛЕНЫЙ посетитель в зале. Все в шоке. Подходит официант к клиенту: - Простите~ но... как это вы такой зеленый?! - А я из другого анекдота!!!!
23.10.2024 20:24:08,Женский,18,цвет крови~ цвет благородства и королей~ есть много символов...,кричащий красный~ не слишком насыщенный и густой~ скорее именно яркий. ассоциации: Кремлевская звезда~ красный на флаге,4,очень приятный и густой~ насыщенный. скорее в малиновый или чуть даже в бордовый. благородство~ спокойствие~ уют~ уверенность,2,ОЧЕНЬ кричащий. не очень приятный~ "искусственный",4,почти как предыдущий~ достаточно яркий и кричащий~ режущий глаза . ассоциации с чем-то ярким детским (игрушками),4,чуть более глубокий~ чем предыдущий. с арбузом.,5,не могу воспринимать СТОЛЬКО разных оттенков...,4,снова арбузный?... или цвет красных ягод,4,Очень приятный~ тёплый~ глубокий. Ближе к коричневому уже. цвет осеннего гардероба или помады француженки ,2,чуть более малиновый чем предыдущий. кровь.,3,
23.10.2024 20:26:27,Женский,18,ярость~ кровь~ война~ месячные~ боль,грейпфрут~ красная рыба,3,вино~ гриффиндор~ кровь~ королевская мантия,1,имбирь~ губная помада~ русалочка,0,мультяшное мясо~ накаленное в кузне железо,4,флаг~ макдональдс,5,губная помада,3,нет ассоциации,4,запекшаяся кровь~ что-то неприятное,1,губная помада,1,очень крутой опрос~ но мозгодробительный!!!!!
23.10.2024 20:27:20,Женский,18,любовь,любовь~ приятно~ цветок,2,кровь~ боль,4,фламинго ,0,томат,5,мармелад,4,малина,3,перец,4,спелость~ запеченный томат,1,бордовый~ клюква,2,
23.10.2024 20:27:35,Мужской,18,цвет победы~ марса~ войны ,морковь~ кирпич~ черепица,1,платок~ кровь~ диплом,4,цветы~ маникюр~ барби,2,советский союз~ розы~ знак стоп,5,терракота~ химия,4,машина в цвете фуксия~ маникюр,3,ссср~ огонь~ салют,5,вино~ чурчхела~ кетчуп,4,вино~ клубника,4,очень много цветов… 
23.10.2024 20:48:14,Женский,18,гнев,Я не знаю почему~ но он ассоциируется с морковкой,3,кровь,4,Розовый~ барби,0,ну это прям красный~ кислотный красный~ челика из амонг аса сразу вспомнила,5,Просто красный~ этот оттенок не кислотный,5,Закос на розовый~ малина,2,Опять челик из амонг аса,5,Для меня это больше красноватый оттенок коричневого,1,бордо,1,ойой какие розы
23.10.2024 20:55:47,Мужской,18,Мой любимый цвет) Ассоциируется с любовью~ силой и успехом.,осень~ простота~ энергия,0,любовь~ динамичность~ победа,5,обаяние~ романтика~ вежливость,0,резкий~ дерзкий~ настойчивый,4,простоту~ легкость~ вычурность,2,опасный~ красивый~ упорный,5,страсть~ жар~ энергия,3,спокойствие~ успех~ свобода,5,спокойствие~ успех~ свобода,5,Что-то слишком много цветов было)) Некоторые даже были одинаковые (по моему мнению)
23.10.2024 20:59:11,Женский,17,страсть~ любовь~ розы~ кровь,Скорее оранжевый~ цвет моркови,2,Почти бордовый~ шторы такого цвета,4,Скорее коралловый~ розовый~ спокойствие~ умиротворение,3,красный прототипический. Цвет не очень приятен~ т к слишком заезжен,5,Недокрасный~ рыжее,4,Яркий~ слишком малиновый,5,Это блин такой же какой был предудщий~ или я дальтоник??,5,КОричневый~ кора~ прототипический цвет прототипического медведя,0,Опять цвет штор,2,красный - мой любимый цвет. Ношу красное пальто и красный свитер
23.10.2024 20:59:25,Мужской,18,Кровь, арбуз~ кровавая мэри,1,карамельное яблоко,3, патрик из губки боба,1,Агрессия,5,Добрый красный ,4,скибиди ,3,доп доп,3,ес ес,3,он уже был,3,щас бы пивка бахнуть 
23.10.2024 20:59:33,Женский,18,Агрессия~ злость~ рябина,Румяна красного оттенка,1,Роскошь элегантность вино ,5,Розовый~ милый ,1,Стоп~ отмена,5,В оранжевый отдает,2,Более малиновый ,3,Будто уже был этот цвет~ нет ассоциаций ,4,Бархат ,5,Женственность ,4,
23.10.2024 21:02:05,Женский,18,аттестат~ как помидор~ флаг~ кровь,флаг СССР~ повязки на рукаве~ алый,4,компот~ кровь,4,малиновый~ кисель,3,яркий~ аттестат,5,алый~ флаг СССР/Москвы,4,флаг СССР/Москвы~ толстовка Взлета,5,флаг~ неправильно/ложь~ толстовка Взлета,4,грязно-красный~ шиповник засохшие ягоды рябины,2,кровь~ шиповник,3,тяжело...
23.10.2024 21:02:24,Женский,18,Опасность~ красота~ соблазн~ яркость~ огонь~ кровь,Яркость~ тепло~ апельсины?,3,Глубина~ красота~ достоинство,4,Яркость~ новизна~ цветы,2,Опасность~ сила~ яркость,5,Подозрение~ яркость,4,Яркость~ красота~ цыганщина?,4,Яркость~ красота~ аккуратность,5,Глубина~ спокойствие~ достоинство~ кирпич?,3,Томный~ глубокий~ красивый~ цветы,4,
23.10.2024 21:07:33,Женский,19,это цвет~ ассоциируется с силой~ тревогой~ кровью ,ассоциируется с советскими мультиками или детскими фильмами~ а также со славянским костюмом,2,вино~ вишневый десерт~ маникюр или помада роковой женщины,4,леденец~ платье куклы~ цвет туфель девочки 10 лет,0,агрессия~ кровь~ власть,5,знак стоп~ опасность~ тревога,5,цвет ягод~ десерт~ варенье,1,цвет яблока~ новый год~ костюм деда мороза,4,осень~ глинтвейн~ рябина,4,лесные ягоды~ малина~ цвет бабушкиного вишневого варенья,3,очень крутой тест!! обожаю вопросы на ассоциации с цветом~ особенно интересно такое проходить с красным из-за противоречивости цвета.
23.10.2024 21:19:21,Мужской,18,все на красное,это не красный,1,это тоже не красный,2,это цвет ассоциируется не с красным,0,летс го гемблинг ТЖ-ТЖ-ТЖ УЭЭЭЭ оу дэнг ит ТЖ-ТЖ-ТЖ УЭЭЭЭ оу дэнг ит ТЖ-ТЖ-ТЖ УЭЭЭЭ оу дэнг ит ТЖ-ТЖ-ТЖ УЭЭЭЭ оу дэнг ит ТЖ-ТЖ-ТЖ УЭЭЭЭ оу дэнг ит ТЖ-ТЖ-ТЖ УЭЭЭЭ оу дэнг ит ТЖ-ТЖ-ТЖ УЭЭЭЭ оу,5,я все проиграл,5,снова не красный 😿,1,снова красный 😻,5,я подумал у меня яркость упала,0,мне не кажется,0,надо вместо капчи ввести тест на определение красного имо
23.10.2024 21:38:53,Женский,17,яркий,оранжевый; закат,3,вишня; вино,4,малиновый,1,настоящий красный,5,флаг,5,-,4,сочетание с синим,5,бордовый,0,бордовый,2,
23.10.2024 21:45:40,Мужской,18,Ну цвет такой есть. Кровь~ огонь~ коммунизм,Гниловатый помидор~ выцветшая вывеска,1,Свернувшаяся кровь~ грязный помидор,3,Барби,0,Помидор~ жигули~ СССР,5,Помидор,4,Плохой пластик,2,СССР,4,Земля как вещество~ грязное машинное масло,2,Вот этот цвет~ который видно~ когда закрыты глаза~ вино,3,Помучаться вы меня заставили знатно конечно
23.10.2024 22:00:58,Мужской,18,Кровь~ война~ розы~ петухи~ пламя,Закат~ морковь,3,Тореадор~ вино,4,Барби~ купальник,2,Флаг СССР~ борщ,5,Морковь~ оранжевая футболка,2,Рассвет~ сок,2,Томаты~ плавки,2,Корка~ застывшая лава,1,Бордовый~ вино,4,
23.10.2024 22:54:22,Женский,26,Red - Taylor Swift Album,уют~ дом~ тепло,3,решительность~ смелость~ риск,4,мода 10-х~ блеск для губ,1,тревога~ предупреждение,5,маки,4,холод~ цветная бумага,3,первая помада,5,база~ универсальный цвет,3,стиль~ сдержанность,3,сложна думоть
23.10.2024 23:45:12,Женский,19,существует... кровь~ бархат~ анимешные вампиры,недокрасый~ недооранжевый - неприятный,0,алый~ насыщенный~ артериальная кровь,4,алый~ яркий~ этикетки,3,нормальный красный,5,слишком оранжевый,4,идеализированный алый клен,4,не вижу разницы уже :(,3,темно-красный~ настоящий алый клен~ красно-бурый,4,бархат~ роскошный такой,5,прикольный тест!!
24.10.2024 18:54:22,Женский,57,Ничего не знаю,Яркий~ тёплый,3,Тёмный~ насыщенный,2,Алый~ светлый,5,Очень яркий~ огненный,4,Обычный~ распространённый,2,Красивый яркий~ насыщенный,5,Кадмий красный светлый,3,Винный~ тёплый~ бархатный,2,Холодный~ спокойный,3,
25.10.2024 0:27:07,Мужской,18,Красный - цвет~ символизирующий кровь~ патриотизм~ коммунизм~ борьбу~ красоту~ смелость~ отвагу~ храбрость~ дерзкость. Используется практически на каждом флаге,Оранжевый~ непонятный. Недоапельсин~ возможно хурма~ но тоже спорно. Возможно~ на кота из "Трёх котов" или ещё откуда-то похож,1,Терпкое вино~ капилярная кровь~ бордовый~ Венгрия. Италия~ Испания~ фламенко~ сальса. Соус для тефтелей в пасте,3,Недорозовый. Даже не знаю~ где такой встретить. Какой-то выцветший красный~ 1950-ых годов Америка~ коттеджи. Платья середины XX века,2,Логотип сайта "Rotten Tomatoes". Большой итальянский помидор~ томат. Алая кровь. Платья~ помада. ,4,Тоже скорее оранжевый. Более оранжевый. Похож на Clockwork Orange таймер~ на апельсин опять же~ но уже ближе,1,Тоже недорозовый. Автомобили~ платья Америки 1950-ых. Ленточки~ корзинки~ ковёр для пикника,2,Тоже скорее оранжевый. Кинопоиск~ Ростелеком~ Wink. Хурма,2,Коричневый. Цвет земли~ тефтелей в пасте,1,Бордовый. Тернис из "Angry Birds". Карты игральные. ,2,
27.10.2024 23:50:59,Женский,21,есть мишель пастуро история цвета~ у меня есть книжка про красный. а ещё кровь~ смерть,мандарин~ ирландия~ морковка,0,кровь губы~ карты,4,нос клоуна~ дешевея помада ,3,алая роза~ красная королева из алисы ,5,морковка,3,просите я не понимаю чем он отличается от предпредыдущего,5,канада монако (из-за флага)~ польша не в счет ,5,помидоры~ вообще цвет неприятный~ кабачковая икра ,0,вино~ хорошая красная помада~ бархат~ богатство ,4,я под конец чуть не заплакала~ мне 3 пары цветов казались одинаковыми..
27.10.2024 23:59:14,Мужской,21,Огонь~ кровь~ яркость~ ошибка~ проблема~ томаты~ клубника~ красота~ ягоды~ коммунизм~ индейцы,Кирпич~ занавес ,3,Театр~ бархат,4,Яркость~ искусственность~ малина,3,Красный~ томат~ обычный ,5,Яркий~ алый ,5,Розоватый~ ягодный,4,Красный,5,Кровь~ вино~ ткань,3,Вишневый~ темный~ ,3,
28.10.2024 0:32:10,Мужской,21,Яблоко сердце помада,Бархат~ помидор~ персик,1,Бордо~ помада,3,Розовый~ невестественный,1,Ощущение будто это красный-красный~ но не совсем... ,4,Персик~ помидор,1,Немного выцветший~ немного химозный,4,Кажется~ красный,5,Коричневый~ бордо~ глина,0,Бархат~ спекшееся кровь,2,Жесть. За цветы спасибо~ но лучше конфеты :) 
28.10.2024 0:51:51,Женский,20,мой любимый цвет в детстве. Сила~ насыщенность~ сочность~ благородство~ сильные эмоции~ возможно~ активная агрессия~ активность~ спорт~ кровь~ жизнь~ бурление~ огонь~ мои щеки~ сильные чувства и телесные ощущения: мороз~ холод.,Для меня это ненастоящий красный~ такого цвета была типа модная одежда. ,1,запекшаяся кровь~ моя бабушка-аристократка,3,вырви-глаз~ опять какая-то одежда~ которая мне не нравится,0,спортивная одежда,1,ааа~ последние три для меня одинаковые,1,я не отличаю его от предыдущего,1,спортивная одежда,1,запекшаяся кровь и моя бабушка,3,благородство~ аристократизм,3,пришлите мне результаты пж @msshabay. и напишите меньше ли красного было чем вопросов или я уже ничего не вижу. спасибо. розы класс~ люблю розы. кстати~ к тому благородному красному можно добавить мамины огромные ароматные розы из сада. спасибо.
28.10.2024 1:23:45,Мужской,21,Яркий цвет; республиканцы; кровь; мясо,Моя майка,3,Хороший цвет,5,Никаких,1,Классика,5,По-моему~ такой же~ как и предыдущий ,5,То же самое,5,Скучно ,4,Темный,4,Еще темнее ,4,Что вы курили?
28.10.2024 1:53:29,Женский,22,Lady in red is dancing with me ,Раздражение~ визг,2,Флаг Китая ,4,Розоватый~ бабблгам,1,Запрещающие знаки на дорогах,4,Тот же цвет~ что и предыдущий,4,Ассоциируется с едом~ с сиропом каким-нибудь,3,Самый базовый красный ,5,Гнилая вишня~ красные розы,2,Красное вино~ красный бархат ,3,Под конец опроса думала что схожу с ума 👍🏻
28.10.2024 3:53:23,Женский,20,Это цвет~ кровь такого цвета,Помада ,1,Какая-нибудь фем фаталь,3,Ну не каждый оттенок вызывает ассоциации~ после долгого раздумья леденец,3,Вот это красный~ артериальная кровь,5,Епарэсэтэ~ не знаю~ лореаль париж,4,Флаг какой-нибудь,5,А у вас реально на всё ассоциации есть? Ну пусть будут ноготочки,5,Осень~ терракотовая армия~ хоть у них и другой цвет,1,Вампиры~ ведьмы,2,Ну вы конечно оригиналы
28.10.2024 8:32:56,Женский,21,Кровь~ опасность,Алые паруса,4,Цвет королевской мантии~ помидоры,2,Малина,1,Тот самый красный,5,Алые паруса,4,Малина,4,Тот самый красный,5,Кирпич~ помидор,1,Кирпич,1,
28.10.2024 10:45:19,Женский,19,опасность~ красота~ тревога,бумага~ бледный~ СССР ,3,помада~ кровь ,4,больше в розовый уходит ,1,прям красный красный,5,такое ощущение будто он не отличается от предыдущего красного,5,закат ,4,Помидор ,4,Одежда~ осень ,3,не отличается от предыдущего ,2,Слишком много похожих оттенков красного
29.10.2024 0:37:34,Женский,18,Страсть~ кровь~ клубничка~ мак,Цвет томатного супчика,2,Вот это вот то что нужно это мой красный он вкусный он сочный он пахнет вишенкой и красной помадой,5,Ну он такой с розовинкой. Как помидорки некоторые. Он сладенько пахнет~ а на вкус слегка кисловатый ,1,Идеальный чистый красный. Но я не фанат всего идеального. Но он безусловно хорош. Такой прям~ как когда в палитре пытаешься настроить кисть на самый красный цвет,5,Он же такой же как прошлый... ,5,Это как тот но с розовинкой легенькой ,4,Зачем вы мне третий раз один и тот же цвет даете ребятки... ,5,Вкусный красный. Почти дорогой красный. Это страсть и шелковое постельное белье ,5,Это же цвет красной птички из angry birds,5,Крутой тест делайте ищо!!! 
29.10.2024 1:15:49,Женский,18,винишко~ кровь~ бархат~ маки,артериальное кровотечение ,5,венозное кровотечение ,3,больно глазикам~ неприятный красный ,5,красный ковровой дорожки ,5,яркий~ но не больно глазики,5,богатый красный,5,обычный красный,5,красный запекшейся крови и красный вина,3,красный бархат (не торт),4,всё равно желто-зеленый — лучший цвет. а вообще~ очень круто и интересно~ что есть какие-то ассоциации на самом деле
29.10.2024 11:10:49,Женский,21,Страсть~ индивидуальность,Колхозный красный,2,Глубокий оттенок~ сочная вишня,5,Оттенок для отпуска~ красный для блондинок,1,Классический яркий красный~ базовый цвет,5,Раздражающий красный~ злой брат-близнец классического цвета,4,Цвет губной помады~ холодный дорогой оттенок,5,Красный для ногтей на Новый год ,5,Кирпичный оттенок~ как здания в Бруклине,0,Оттенок осенних листьев~ модный цвет в одежде ,1,
29.10.2024 11:18:08,Женский,18,Любовь~ страсть,утренний рассвет ,2,цвет губной помады ,5,сладкая вата,4,стоп сигнал ,5,лужа крови,5,чарли и шоколадная фабрика,4,крыши домов,5,осень~ пальто ,4,вкус вишни ,3,
29.10.2024 12:21:39,Мужской,18,коммунизм~ светофор~ кровь~ опасность~ настороженность,сайт с плохо подобранной цветовой гаммой~ китайская некачественная краска~ вызывает очень мало ассоциаций на самом деле...,3,СССР~ "указаны неверные данные"~ сайт уральских авиалиний,4,какой-то мультфильм~ детская анимация,1,светодиодный светофор~ RGB где R выкручен на максимум а остальные цвета на минимум,5,еще один очень красный цвет~ именно компьютерный оттенок~ максимально красный RGBй,5,мультипликация~ дешевый "красный" фломастер,4,снова РГБ на максимум выкрутили красный,5,вроде ссср но какой-то более темный... свернувшаяся кровь,2,карандаш из моего детского набора который я постоянно путал с красным~ вино,3,блин очень интересно~ вы повторяли одни и те же цвета? хм
29.10.2024 13:58:08,Мужской,54,Красный - это цвет.  флаг ссср~ светофор,ассоциации: что-то про одежду~ теплый вязаный свитер; немного похож на пионерский галстук~ который я носил,1,немного ржавый~ немного малиновый,3,фруктовая жвачка,0,цветная бумага для апликаций ,1,спортивная футболка,2,супрематизм,3,кафельная плитка~ мозаичная отделка в ванной комнате,3,новая машина~ мороз красный нос,4,красное яблоко~ красный апельсин,5,
29.10.2024 21:31:29,Женский,17,Ред флаг,Мой свитер в 8 классе~ рыжая ветка метро,2,Вечернее платье~ вино,4,Лето~ классный мюзикл,1,Ред флаг~ леди баг,5,Ред флаг~ леди баг,5,Леди баг~ ютуб,5,Леди баг~ ред флаг,5,Вино~ вечернее платье,4,Рябина~ вино,4,
29.10.2024 22:28:26,Женский,18,красный ассоциируется с кровью~ с царственностью и с агрессией,это цвет закатного солнца ,0,похоже на оттенок помады~ но я бы назвала это бордовым,4,это красный с оттенками розового~ похож на цвет розы,1,это я представляю~ когда мне говорят красный,5,такой же~ как и предыдущий. но цвет кажется скучным ,5,благородный красный цвет~ более глубокий~ чем предыдущий ,4,скучный и плоский красный,5,приятный и не вызывающий цвет,2,приятный~ неброский и глубокий,4,не люблю красный цвет~ но понравилось))
29.10.2024 22:31:52,Женский,55,Флаг~ кровь~ заря~ закат~ сердце~ любовь~ Валентинка~ звёзды~ рубин~ гранат ,Морковь~ калина~ неспелая земляника,2,Вино~ пунш~ хэллоуин~ в багрец одетые леса,2,Малина~ варенье~ карамелька~ косынка,1,Пальто~ любовь~ сияние,5,Мой любимый~ тёплый,5,Сладкое~ липкое~ весёлое,3,Злость~ зной~ лето~ жара,5,Мясо~ кровь~ смертельно,1,Злость~ гнев~ ярость,1,Сильное раздражение и злость~ под конец устала сравнивать и отвечать
29.10.2024 22:34:45,Мужской,17,Красный вызывает ярость у быков~ похож на кровь~ из этого можно~ сказать~  что красный - это ярость~ злость~ однако красный- это цвет кремля~ земли на русском флаге~ так что он еще и вызывает чувство защиты~  близость к земое ,Раздражение~ не могу я долго вглядываться в цвета. От одного художника~ а точнее~ его чёрного квадрата вообще тик,4,Кровь~ спокойно и умиротворение ,5,Польша,0,Мягкость,0,Ошущение~ что отличий почти нет~ польша + ненависть ,0,Польша + недоумение,0,Kurwa Bóbr,0,О~ снова кровь,5,Мг~ кремль и защита,5,Я дальтоник~ для меня было два цвета: багровый и польша 
29.10.2024 22:43:46,Женский,48,Кровь~ знамя~ красивое~ солнышко,Пионерский галстук,2,Сердце~ кровь~ коктейльное платье,5,Малина,1,Артериальная кровь,4,Гладиолус,3,Малиновое вино,3,Светофор ,4,Бордо вино,3,Мои кеды,5,Совсем не знаю красный)
29.10.2024 22:44:02,Мужской,16,Красный - красивый,Алый ,2,Кровь~ бурый цвет ,4,Барби,0,Какие-то народные узоры~ хохлома,5,Не вижу отличий от предыдущего ,4,Восковой мелок ,2,Очкнь похож на предпредыдущие ,4,Кровь~ красная ткань ,4,Красная площадь ,4,Сложно. Точно было несколько одинаковых цветов 
29.10.2024 22:44:49,Женский,43,Кумачовый~ маки~ кровь~ знамя,Девица~ юность~ румянец,3,Венозная кровь~ вишня~ желе,1,Алый~ Роза~ яркий,2,Классик~ строго~ точно,4,Матовый~ спокойней,4,Малина~ ягода~ сочный,3,Роза~ сок,4,Гроб~ траур~ старость,0,Глубокий~ твёрдый,2,
29.10.2024 22:48:45,Женский,37,Кровь война,Футболка китай,2,Кровь ,5,Розы,0,Комп игра реклама ,2,Реклама кепка ,3,Цветы ,1,Кажется повторяется )) не красный.  Цветы,1,Кровь ,4,Такой же. ,4,
29.10.2024 22:54:39,Женский,17,Красный — один из самых ярких цветов~ и наш взгляд часто непроизвольно останавливается на нём. Именно поэтому его часто используют для привлечения внимания. Например~ кричащие заголовки~ предупреждающие знаки или даже обычная красная помада — всё это служит одной цели: заставить человека обратить внимание на этот броский цвет.  Для меня красный цвет ассоциируется со страстью~ активностью и~ иногда~ с опасностью. ,Ассоциация почему-то с помидорами с огорода ,1,С заставкой из фильма «собиратель душ» ,5,Цвет из детства. Цветная бумага/картон~ фломастеры/карандаши,0,Красный из paint. Немного раздражает ,5,С какими-то тканевыми платками ,2,С сарафаном из детства ,2,Вот это красный цвет ,5,Ой~ красивый оттенок. Ассоциация с шоколадом ,1,С театральным занавесом ,3,Необычный опрос 
29.10.2024 22:54:57,Женский,52,ФЛАГ СССР,Яркий~ вызывающий,3,Алый~ флаг,5,Веселый~ детский,0,Огненный,4,Пионерский гаостук~ детство,5,Коасное платье,5,Стандартный красный ,5,Кирпичный,0,Кровь~ агрессия,4,
29.10.2024 22:56:35,Мужской,45,Театр,Оранж,0,Бордо,0,Малина,1,Грейпфрут,1,Пионерский галстук,2,Флаг страны,3,Красная реклама,4,Крепкий чай,4,Тоже крепкий чай,4,Спасибо за букет! 
